code|name|sec|day|time|room|lecturer
201114|Environmental Science in Today’s World วิทยาศาสตร์สิ่งแวดล้อมในโลกปัจจุบัน|001|TuF|1100-1230 -|SCB2100|ณัตติพร ยะบึง Co-Instruc เดีย พนิตนาถ แชนนอน ธนียา เจติยานุกรกุล สุทธาธร ไชยเรืองศรี ว่าน วิริยา ณัตติพร ยะบึง สุภัทรชัย ศักดิ์สกุลไกร
201114|Environmental Science in Today’s World วิทยาศาสตร์สิ่งแวดล้อมในโลกปัจจุบัน|002|TuF|1430-1600 -|CB2440|ณัตติพร ยะบึง Co-Instruc เดีย พนิตนาถ แชนนอน ธนียา เจติยานุกรกุล สุทธาธร ไชยเรืองศรี ว่าน วิริยา ณัตติพร ยะบึง สุภัทรชัย ศักดิ์สกุลไกร
201114|Environmental Science in Today’s World วิทยาศาสตร์สิ่งแวดล้อมในโลกปัจจุบัน|003|TuF|1430-1600 -|CB2440|ณัตติพร ยะบึง Co-Instruc เดีย พนิตนาถ แชนนอน ธนียา เจติยานุกรกุล สุทธาธร ไชยเรืองศรี ว่าน วิริยา ณัตติพร ยะบึง สุภัทรชัย ศักดิ์สกุลไกร
201114|Environmental Science in Today’s World วิทยาศาสตร์สิ่งแวดล้อมในโลกปัจจุบัน section นี้จัดการเรียนการสอนแบบ Modular Learning Class period 22 Jun. 2026 to 18 Oct. 2026|401|TBA|TBA-TBA -|TBA ดูแผนที่|ณัตติพร ยะบึง Co-Instruc เดีย พนิตนาถ แชนนอน ธนียา เจติยานุกรกุล สุทธาธร ไชยเรืองศรี ว่าน วิริยา ณัตติพร ยะบึง สุภัทรชัย ศักดิ์สกุลไกร
206111|Calculus 1 แคลคูลัส 1|001|MTh|0800-0930 -|SCB4201 ดูแผนที่|หทัยรัตน์ ยิ่งทวีสิทธิกุล
206111|Calculus 1 แคลคูลัส 1|002|MTh|1100-1230 -|MB2213-14|วารุนันท์ อินถาก้อน
229352|Statistical Learning for Data Science 2 การเรียนรู้เชิงสถิติสำหรับวิทยาการข้อมูล 2|001|Tu Fr|0900-1100 0900-1100|TBA SCB4202|ดลภาค พรนพรัตน์
206112|Calculus 2 แคลคูลัส 2|001|MTh|0800-0930 -|SCB1100|สมลักษณ์ อุตุดี
206112|Calculus 2 แคลคูลัส 2|002|MTh|1100-1230 -|SCB2100 ไม่รับ Add มือ|ชัยพร ตั้งทอง
206112|Calculus 2 แคลคูลัส 2|003|TuF|0930-1100 -|SCB3100|อัญชลี เข็มเพ็ชร์
206112|Calculus 2 แคลคูลัส 2|004|MTh|1100-1230 -|MB2212|เฉลิมพล บุญปก
176100|Law and Modern World กฎหมายและโลกสมัยใหม่|002|MTh|1300-1430 -|ห้องประชุมใหญ่นิติศาสตร์|กฤษณ์พชร โสมณวัตร Co-Instruc ปารณ บุญช่วย
176100|Law and Modern World กฎหมายและโลกสมัยใหม่|701|TuF|0930-1100 -|LB1402|นัทมน คงเจริญ
851100|Introduction to Communication for Entrepreneurs การสื่อสารเบื้องต้นสำหรับผู้ประกอบการ|001|MTh|0930-1100 -|MCB2301|ณหทัย แสนมงคล Co-Instruc คณาจารย์
851100|Introduction to Communication for Entrepreneurs การสื่อสารเบื้องต้นสำหรับผู้ประกอบการ|002|TuF|1300-1430 -|MCB2301|ณหทัย แสนมงคล Co-Instruc คณาจารย์
951100|Modern Life and Animation ชีวิตสมัยใหม่กับแอนนิเมชัน|001|TBA|0000-0000 -|MANGO Canvas Online|ศุภรดา ประภาวงศ์
951100|Modern Life and Animation ชีวิตสมัยใหม่กับแอนนิเมชัน|002|TBA|0000-0000 -|MANGO Canvas Online|เสฏฐี บุญชู
951100|Modern Life and Animation ชีวิตสมัยใหม่กับแอนนิเมชัน|003|TBA|0000-0000 -|MANGO Canvas Online|ศุภรดา ประภาวงศ์
